date,AAPL,AMZN,GOOG,META,MSFT,NVDA,UNH
2022-06-30,134.8890402414,106.21,109.1028784565,160.7675940085,251.453575713,15.1404365357,496.9910812543
2022-07-01,137.0694438322,109.56,108.8120970528,159.5512438398,254.1460078012,14.505215371,500.6389530226
2022-07-05,139.664222766,113.5,113.6062494573,167.6868318529,257.3475543206,14.9456753295,488.8728732608
2022-07-06,141.0060095911,114.33,114.9294794125,169.2621050221,260.6372167993,15.1114720486,498.5973059586
2022-07-07,144.3900748927,116.33,119.0118907141,171.6748651927,262.7813718077,15.8385805517,497.716785187
2022-07-08,145.0708343848,115.54,119.872264507,170.3687842739,262.0568628095,15.8186050434,501.8291074722
2022-07-11,142.9298951124,111.75,116.2352525081,162.3927175944,258.9728042357,15.1334451078,500.203530663
2022-07-12,143.9066369925,109.22,114.5663767335,162.781550845,248.3597264771,15.0635308287,497.7554893967
2022-07-13,143.5415920474,110.4,111.9104402423,163.0008926787,247.429613574,15.1454304128,485.0024522865
2022-07-14,146.4816837671,110.63,111.1652817225,157.5771673367,248.7611436248,15.3531756994,486.1539025263
2022-07-15,148.1589172985,113.55,112.4890104451,164.207272764,251.3458784295,15.7426981118,512.5888777806
2022-07-18,145.1004326236,113.76,109.6390534289,166.7297038514,248.9275848812,16.0812829779,502.5451353524
2022-07-19,148.977801905,118.21,114.3374424895,175.2541251151,254.0970544905,16.9711918738,516.1690171818
2022-07-20,150.9904821426,122.77,114.4172452761,182.5422560435,256.7796959166,17.7851938381,502.6418958767
2022-07-21,153.2695465294,124.63,114.7564071191,182.6220167103,259.2958960863,18.0278962643,505.535035555
2022-07-22,152.0264205003,122.42,108.0928744387,168.7636008547,254.9096794481,17.2977914349,504.5190500493
2022-07-25,150.9016874263,121.14,107.9432442138,166.1514390171,253.4117081408,17.0031526871,512.3179483124
2022-07-26,149.5697666808,114.81,105.1800727281,158.6738765051,246.6267792786,16.5127539577,514.3692714288
2022-07-27,154.6902619913,120.97,113.3199569604,169.0726734385,263.1142543204,17.768214656,517.2914392644
2022-07-28,155.2427624487,122.28,114.3075164445,160.2391795909,270.623692181,17.9619770868,523.9485633401
2022-07-29,160.3336595204,134.95,116.3524628509,158.6240260884,274.8630488871,18.1407578863,524.7710277972
2022-08-01,159.3470515608,135.39,115.1953224454,159.4515430063,272.1901981232,18.418417452,518.0364953019
2022-08-02,157.8671396213,134.16,115.614287075,159.7107651734,269.0669769009,18.5033133624,518.1139037214
2022-08-03,163.9051803343,139.52,118.4871873923,168.2950069372,276.5568334371,18.8698639402,523.1357749355
2022-08-04,163.5894657872,142.57,118.5769655272,170.0597116901,277.7121315695,19.1914696242,516.4592987549
2022-08-05,163.3625459565,140.8,117.9285678861,166.6100628512,276.9876225713,18.9657463802,517.726861624
2022-08-08,162.8883154028,139.41,117.8487650995,169.7406690229,274.4518410773,17.7712109823,519.2169736991
2022-08-09,162.9377144188,137.83,117.2103428068,168.0258146868,276.3903921808,17.0650767629,519.8555931598
2022-08-10,167.2057894023,142.69,120.3525775288,177.8064664525,283.1067864081,18.0748387088,520.3006915719
2022-08-11,166.4648041621,140.64,119.524623618,176.9590093678,281.0115847103,17.9200285193,515.5981300881
2022-08-12,170.0314131183,143.55,122.3476471936,179.960004456,285.7992184963,18.6860892636,526.0869709284
2022-08-15,171.1083116674,143.18,122.5770802051,180.3488377066,287.3265617899,19.0086937231,526.9965198574
2022-08-16,170.9502348161,144.78,122.2079923171,178.933085871,286.5824714674,18.8558810844,528.4285756179
2022-08-17,172.451964903,142.1,120.0233910342,174.3269073636,285.8285904827,18.3125472579,527.3448577451
2022-08-18,172.0567727748,142.3,120.5620598437,174.13747578,284.7002680913,18.7500108902,527.5577308986
