date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2022-10-03,140.8928215129,115.88,43.8157823216,272.8,99.0552088571,101.2673788857,316.0354169196,138.1953253055,236.6768694536,12.5003229491,121.4054063742,242.4,500.3798415365,178.7728543334,85.9544506559
2022-10-04,144.5029218886,121.09,46.0296889199,280.49,102.1575421859,106.0050340383,324.2323859045,139.8603292249,244.6794852106,13.1547116585,122.9075042353,249.44,507.8150214286,182.7094985246,89.0870377935
2022-10-05,144.7996424674,120.95,46.5035493443,279.36,101.9680105677,104.707818937,326.0899724011,138.5642183894,244.9940843559,13.1966724612,122.057260163,240.81,511.6005568828,184.6975038411,92.6871752503
2022-10-06,143.8402459292,120.3,45.9951565813,276.31,101.9879612644,102.5736347481,327.239906899,138.6539491396,242.6247595433,13.1177461894,119.4876336332,238.13,503.8935949581,182.6504488617,95.4363711264
2022-10-07,138.5586196261,114.56,44.1706980241,269.04,99.3245432619,100.5248179268,321.0577804104,133.0507622972,230.2865743159,12.064729854,117.3998120778,223.07,490.032711295,180.9183254176,94.4732174691
2022-10-10,138.8850122628,113.67,41.9855683746,266.93,98.466663306,99.5857768837,318.3352859154,133.3897451311,225.3807938948,11.6591087609,116.9180071035,222.96,484.2185170974,179.2944596887,92.4253470716
2022-10-11,137.4607534844,112.21,41.3198616245,267.31,97.8082903166,96.7117421761,321.9816594087,128.1554513727,221.6056041519,11.5751871554,117.3620234524,216.5,485.140634708,176.3026101034,91.6398625356
2022-10-12,136.8277495829,112.9,41.3016362236,264.0,98.0576740247,98.2768105812,319.0036239142,127.1185627044,221.9398657437,11.4892674165,117.5509665795,217.24,485.2862322255,175.4168651604,92.04195581
2022-10-13,141.4269185547,112.53,42.0114676286,275.78,99.4641981384,103.7403221047,326.4044844006,129.9002159588,230.2865743159,11.9488381131,119.3270319751,221.72,494.9442008843,181.7351790873,95.2587020051
2022-10-14,136.8673123268,106.9,40.9687828485,272.67,96.9404350125,105.4666399819,325.7066609018,126.3807765365,224.7024394879,11.2165221987,118.1650317429,204.99,498.0696942593,179.7274905497,92.752632295
2022-10-17,140.853258769,113.79,41.7620674052,277.02,100.5315604091,109.8962578317,327.0531653994,133.6389972148,233.5210467779,11.8769053084,120.3000890801,219.35,506.5628827783,182.3158341055,94.0898262075
2022-10-18,142.1786106878,116.36,41.7102688973,281.67,101.1400566569,112.722866224,329.2842348953,132.4027068795,234.4746754369,11.9558315803,121.2731461851,220.19,506.8831973168,184.2054233172,94.2581443223
2022-10-19,142.2874082333,115.07,41.7553527838,278.34,100.0427683412,110.5127999307,323.6426759056,132.8314204636,232.4887683326,12.0397531857,122.3973577919,222.04,505.0486685966,183.4574609209,97.0540952303
2022-10-20,141.8225459932,115.25,41.2757369696,273.53,100.282176701,110.1523599344,323.426448906,131.1365062942,232.164337964,12.1826197284,120.8322473978,207.28,505.5922326619,184.2546313696,97.1850093197
2022-10-21,145.660132146,119.32,43.1395240236,282.51,101.2298347918,115.9383704019,334.9257938849,129.6210536251,238.0335782674,12.4543658795,122.3451482039,214.44,518.0650866584,187.3547386702,98.9897535512
2022-10-24,147.8163016855,119.82,43.7908422993,287.48,102.716161692,116.0806493479,341.933514372,129.3319212079,243.0769958146,12.5872417548,123.0968410572,211.25,525.7041030749,187.6893534265,99.6817280234
2022-10-25,150.6747099282,120.6,44.1313695273,289.24,104.6713299635,116.3841777658,345.2850328659,137.0986161371,246.429442956,13.2486239313,124.5145908692,222.415,524.3646059142,191.3012244719,99.008455564
