date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2023-12-18,194.9355327367,154.07,112.9748348951,359.65,136.8518036567,162.3743382583,576.0033670216,343.5890123857,370.6502382887,50.0645824886,142.6263038395,252.08,520.3843875015,256.402946505,98.2992267333
2023-12-19,195.9804166479,153.79,112.761098721,361.8,137.7595603542,164.542845934,576.0530430399,349.3118402282,371.2569648293,49.5916997777,142.6263038395,257.22,517.9037782286,258.0106129265,99.5950552018
2023-12-20,193.8806975501,152.12,109.8717674914,355.35,139.3157146927,162.6869159413,566.5152475325,348.2350712265,368.6311319323,48.0990699944,140.4210945169,247.14,509.8887418928,255.1525392882,97.9317529885
2023-12-21,193.7314284199,153.84,111.5450069124,356.14,141.4504392341,163.6148809376,568.2936489864,353.0306813176,371.5354622578,48.9778520302,140.762609235,254.5,513.7924895532,257.5640389206,98.3765896269
2023-12-22,192.6566906826,153.42,111.0195840072,356.47,142.3681712799,163.5172004117,566.6940811982,352.3327754831,372.5698812779,48.8178917052,141.7578806992,252.54,514.2174544884,256.4624897058,98.5506561376
2023-12-26,192.1093705386,153.41,112.0001755307,356.83,142.4679247631,164.4842376184,566.9722669005,353.7684674854,372.6494519717,49.2667803674,142.4018798819,256.61,513.9407331353,257.1869319822,98.7730744568
2023-12-27,192.2088832921,153.34,111.4341832488,356.95,141.0913266944,165.4708109304,577.742027661,356.7594924902,372.0626181046,49.4047461477,142.5189706424,261.44,516.6684150449,256.9586830458,98.308897095
2023-12-28,192.6367881319,153.38,111.0621323781,357.57,140.9317211212,166.3499356638,577.0863042199,357.2480265743,373.266124849,49.5097201111,142.196971051,253.18,518.753708099,258.4174914653,96.8873539243
2023-12-29,191.5919042207,151.94,110.4526022283,356.66,140.5825839299,166.1545746119,579.1428913762,352.901070234,374.0220464406,49.5097201111,142.9873336843,248.48,520.3053242577,258.3678721313,96.6842763285
2024-01-02,184.7354755079,149.93,107.3980250002,362.46,139.2159612095,168.0886490254,588.3627603667,345.2540163051,368.8797903506,48.1560558602,145.1339976266,248.42,533.0246235971,256.899139845,98.9858224143
2024-01-03,183.3522482349,148.47,104.7461730498,366.75,140.0139890754,167.3560450809,613.6975296834,343.4394611355,368.6112392588,47.5572043933,144.255816923,238.45,535.6831251684,256.0159156998,99.817473521
2024-01-04,181.0236498041,144.57,103.7992244242,363.68,137.6997082643,168.4598350239,610.5182645143,346.0815332231,365.9655136883,47.9860980148,145.0461795563,237.93,539.0334301226,257.6335059882,98.9471409675
2024-01-05,180.2972067039,145.24,103.8259408431,365.59,137.0513106232,169.3050334261,614.542021994,350.8970834808,365.7765332904,49.0848254976,143.8459992612,237.49,531.087574125,257.7128969226,99.2469221804
2024-01-08,184.6558653051,149.1,106.356084663,368.18,140.1835699969,169.0593362162,621.9735543269,357.5870094082,372.6792909819,52.2400429095,145.0852098098,240.45,530.2376442547,260.5411989605,97.5932903288
2024-01-09,184.2379117406,151.37,107.1120603683,366.9,142.2085657067,167.7227433941,621.4271181259,356.3606891562,373.7733880223,53.1268229615,145.6804211756,234.96,532.0659817665,261.3251844377,96.3844951156
2024-01-10,185.2827956518,153.73,106.922076945,367.92,143.4455088989,168.0765473764,626.1065990468,369.3616778438,380.7159310607,54.3365229198,146.3049052315,233.94,531.3445296672,262.545820054,95.4367996685
2024-01-11,184.6857191311,155.18,108.8426906151,363.34,143.3158293707,167.3689394118,631.6007666672,368.5640711759,382.5659496927,54.8084058788,146.8610863438,227.22,533.360642383,262.0198551136,95.4174589451
2024-01-12,185.0141112175,154.62,109.6046033023,363.62,143.8844242251,166.1404533621,638.7541132978,373.3696513503,386.3853429975,54.6964336512,146.9489044142,218.89,515.4034031448,262.1587892488,96.6552652434
2024-01-16,182.7352691635,153.16,110.3249571157,361.1,143.7248186519,165.0986971919,630.4582182471,366.3606827557,388.1756836091,56.3680190481,146.1585417809,219.91,513.071037454,263.2206429964,94.469763498
2024-01-17,181.7898980057,151.71,109.2078150067,359.29,142.5377522014,164.2141872361,624.8348929791,367.2679603404,387.3799766706,56.0391006297,146.3049052315,215.55,518.7932397209,264.6000604816,93.7831678169
2024-01-18,187.7109068361,153.5,113.1895509204,362.38,144.6325753494,164.5385075532,619.3109197477,375.0047450196,391.7563648324,57.0928392711,145.4664378108,211.88,510.293941017,266.0985643683,93.6091013062
2024-01-19,190.6266305122,155.34,119.8478762095,366.99,147.60522915,167.3787673002,624.5070312586,382.3028460313,396.5306064634,59.4762481145,144.9067249071,212.19,497.6635878269,268.8375516051,93.7541567318
2024-01-22,192.9452776676,154.78,120.7681084162,368.06,147.3458700935,167.1822095322,626.7921280989,380.6378421119,394.3821977294,59.6392076957,145.1914911213,208.8,506.9831676847,269.1352676091,93.6284420297
2024-01-23,194.2289921872,156.02,121.3430061712,372.14,148.313478881,166.0814860317,625.5999036605,384.0476106174,396.7593722082,59.8581533906,151.2010401924,209.14,509.4835427685,269.1948108099,94.6825114555
2024-01-24,193.5523054637,156.87,124.0700598934,376.59,149.9793620511,167.5654971797,629.5938555292,389.5311564596,400.3997314518,61.3467841657,149.374608612,207.83,507.220357416,269.581841615,96.3168025837
2024-01-25,193.2239133773,157.75,121.7081305628,380.85,153.2612516497,169.9635019487,623.5532517078,392.0037371302,402.6973352367,61.6017209338,152.8114422311,182.63,487.6225558698,270.5345328278,98.7634040951
2024-01-26,191.4824401919,159.12,119.2225141078,385.4,153.4108818745,169.3148613145,635.107893557,392.9608651318,401.762379584,61.0158662432,153.3220575117,183.25,497.30780323,265.9000870323,99.6047255635
2024-01-29,190.7958021931,161.26,120.4979757362,383.18,154.4582934485,169.7571162924,640.8206356578,399.8202824761,407.5213085514,62.4495106566,153.3416965609,190.93,498.6321125629,271.5765388418,99.7304402656
2024-01-30,187.1237815907,159.0,119.5470691226,387.15,152.6727060986,173.2361887852,640.8007652505,398.8631544746,406.3973725007,62.7584340344,154.6476933362,191.59,497.7130023542,275.0399683549,101.3937424789
2024-01-31,183.5015173651,155.2,116.7606455806,383.74,141.4504392341,171.3590621012,641.4266830807,388.972831792,395.4464557597,61.5117432509,154.3040099743,187.29,505.747804501,271.1795841698,99.4209886911
2024-02-01,185.9495311,159.28,118.7406290705,386.44,142.3581959316,170.7399051322,656.1506548953,393.5989504661,401.613184533,63.0113712984,156.307192998,188.86,501.201667985,274.9407296869,99.0148334994
2024-02-02,184.9444522901,171.81,121.1480752629,390.75,143.1861498424,171.7226939719,663.3238719332,473.5689890113,409.013259061,66.1435944136,155.2368648137,187.91,504.2554857751,275.0697399553,98.6086783078
2024-02-05,186.7655356783,170.31,123.0043716282,390.76,144.5727232595,171.4966525388,701.6240820179,458.035599153,403.4731495017,69.3148078579,155.3546991093,181.06,497.0706134987,273.4819212673,98.2025231162
2024-02-06,188.3776422842,169.15,120.9808502705,393.74,145.051539979,172.0863258426,700.4616631904,453.3596300622,403.314008114,68.2060828548,156.0911634562,185.1,504.6903336158,274.6529375497,98.8794484356
2024-02-07,188.487106313,170.53,124.3857094352,397.66,146.3184092162,172.4106461598,720.6798026255,468.1851440027,411.828072356,70.0816176662,156.2482758502,187.58,513.3082271852,277.262914518,98.8504373505
2024-02-08,187.4024173004,169.84,126.1371191189,397.49,146.8570780257,171.7914891907,730.9130623887,468.59391742,411.8877503764,69.6237312357,155.7769386682,189.56,514.0000305681,274.1964396769,100.5427506489
2024-02-09,188.1686655019,174.45,126.9960025119,398.36,149.8496825229,171.9978748471,735.3640336255,466.709571667,418.2931912313,72.1151132986,154.5789566638,193.57,512.1519272453,274.8427073025,98.4152710737
